Category: All categories

Week,covid symptoms: (United States)
2020-10-04,44
2020-10-11,37
2020-10-18,39
2020-10-25,42
2020-11-01,40
2020-11-08,57
2020-11-15,67
2020-11-22,63
2020-11-29,62
2020-12-06,59
2020-12-13,57
2020-12-20,62
2020-12-27,61
2021-01-03,52
2021-01-10,45
2021-01-17,41
2021-01-24,36
2021-01-31,33
2021-02-07,27
2021-02-14,22
2021-02-21,22
2021-02-28,21
2021-03-07,21
2021-03-14,20
2021-03-21,24
2021-03-28,24
2021-04-04,26
2021-04-11,24
2021-04-18,24
2021-04-25,21
2021-05-02,17
2021-05-09,17
2021-05-16,14
2021-05-23,13
2021-05-30,11
2021-06-06,10
2021-06-13,10
2021-06-20,11
2021-06-27,11
2021-07-04,15
2021-07-11,18
2021-07-18,27
2021-07-25,35
2021-08-01,47
2021-08-08,50
2021-08-15,50
2021-08-22,55
2021-08-29,48
2021-09-05,46
2021-09-12,39
2021-09-19,34
2021-09-26,30
2021-10-03,25
2021-10-10,22
2021-10-17,20
2021-10-24,20
2021-10-31,21
2021-11-07,20
2021-11-14,22
2021-11-21,23
2021-11-28,30
2021-12-05,26
2021-12-12,34
2021-12-19,70
2021-12-26,94
2022-01-02,100
2022-01-09,74
2022-01-16,50
2022-01-23,34
2022-01-30,23
2022-02-06,17
2022-02-13,12
2022-02-20,11
2022-02-27,9
2022-03-06,8
2022-03-13,8
2022-03-20,8
2022-03-27,8
2022-04-03,10
2022-04-10,12
2022-04-17,12
2022-04-24,13
2022-05-01,15
2022-05-08,18
2022-05-15,21
2022-05-22,21
2022-05-29,21
2022-06-05,20
2022-06-12,19
2022-06-19,22
2022-06-26,23
2022-07-03,26
2022-07-10,28
2022-07-17,31
2022-07-24,27
2022-07-31,23
2022-08-07,20
2022-08-14,18
2022-08-21,18
2022-08-28,16
2022-09-04,15
2022-09-11,13
2022-09-18,12
2022-09-25,10
2022-10-02,10
2022-10-09,10
